X:500,O:358,T:142
X:495,O:369,T:136
X:512,O:360,T:128
X:514,O:343,T:143
X:496,O:372,T:132
X:513,O:373,T:114
X:513,O:354,T:133
X:544,O:341,T:115
X:517,O:370,T:113
X:500,O:387,T:113
X:535,O:349,T:116
X:509,O:386,T:105
X:520,O:375,T:105
X:506,O:365,T:129
X:493,O:373,T:134
X:494,O:394,T:112
X:504,O:371,T:125
X:533,O:355,T:112
X:497,O:379,T:124
X:504,O:388,T:108
X:521,O:364,T:115
X:485,O:388,T:127
X:492,O:389,T:119
X:532,O:370,T:98
X:519,O:373,T:108
X:496,O:373,T:131
X:491,O:395,T:114
X:513,O:361,T:126
X:505,O:374,T:121
X:509,O:370,T:121
X:511,O:359,T:130
X:523,O:359,T:118
X:496,O:385,T:119
X:532,O:370,T:98
X:508,O:385,T:107
X:515,O:369,T:116
X:527,O:359,T:114
X:495,O:388,T:117
X:501,O:381,T:118
X:478,O:402,T:120
X:531,O:345,T:124
X:490,O:390,T:120
X:522,O:358,T:120
X:487,O:383,T:130
X:502,O:377,T:121
X:493,O:374,T:133
X:532,O:363,T:105
X:501,O:387,T:112
X:530,O:359,T:111
X:506,O:367,T:127
X:511,O:369,T:120
X:492,O:405,T:103
X:498,O:393,T:109
X:494,O:379,T:127
X:493,O:375,T:132
X:488,O:398,T:114
X:502,O:377,T:121
X:502,O:380,T:118
X:473,O:413,T:114
X:501,O:374,T:125
X:527,O:361,T:112
X:499,O:371,T:130
X:529,O:371,T:100
X:523,O:352,T:125
X:516,O:363,T:121
X:506,O:386,T:108
X:487,O:390,T:123
X:493,O:388,T:119
X:495,O:358,T:147
X:532,O:346,T:122
X:472,O:405,T:123
X:506,O:370,T:124
X:489,O:405,T:106
X:499,O:383,T:118
X:498,O:384,T:118
X:505,O:359,T:136
X:507,O:378,T:115
X:506,O:376,T:118
X:508,O:369,T:123
X:530,O:350,T:120
X:518,O:384,T:98
X:514,O:370,T:116
X:501,O:382,T:117
X:508,O:376,T:116
X:502,O:373,T:125
X:519,O:372,T:109
X:493,O:388,T:119
X:497,O:382,T:121
X:510,O:372,T:118
X:495,O:367,T:138
X:540,O:340,T:120
X:542,O:341,T:117
X:501,O:385,T:114
X:518,O:360,T:122
X:519,O:354,T:127
X:478,O:399,T:123
X:487,O:408,T:105
X:479,O:407,T:114
X:496,O:375,T:129
X:493,O:387,T:120
X:473,O:393,T:134
X:513,O:368,T:119
X:484,O:393,T:123
X:506,O:369,T:125
X:531,O:362,T:107
X:506,O:379,T:115
X:490,O:376,T:134
X:499,O:372,T:129
X:502,O:356,T:142
X:518,O:373,T:109
X:518,O:354,T:128
X:511,O:373,T:116
X:514,O:375,T:111
X:524,O:383,T:93
